date,thr,y_true,y_true_high,proba_high,pred_high_0p5,train_pos_rate,target,high_q,class_weight
2025-09-19,0.03575275270923537,0.0127138710340832,0,0.037119375774754645,0,0.05188679245283019,target_absret_next7d,0.95,None
2025-09-20,0.03575036797738904,0.0126641201155229,0,0.09592574366748773,0,0.051643192488262914,target_absret_next7d,0.95,None
2025-09-21,0.03574798324554271,0.0153479484624359,0,0.07240209270943794,0,0.0514018691588785,target_absret_next7d,0.95,None
2025-09-22,0.03574559851369638,0.0148793479158114,0,0.022803300165779163,0,0.05116279069767442,target_absret_next7d,0.95,None
2025-09-23,0.03574321378185005,0.0144133446251858,0,0.017951810730120046,0,0.05092592592592592,target_absret_next7d,0.95,None
2025-09-24,0.03574082905000372,0.0183208087855921,0,0.024917979534485175,0,0.05069124423963134,target_absret_next7d,0.95,None
2025-09-25,0.03573844431815739,0.0151833715191154,0,0.04662875328057099,0,0.05045871559633028,target_absret_next7d,0.95,None
2025-09-26,0.03573605958631106,0.0162907420098444,0,0.0543947774967445,0,0.0502283105022831,target_absret_next7d,0.95,None
2025-09-27,0.03573367485446473,0.0164687688353852,0,0.18858147464602276,0,0.05,target_absret_next7d,0.95,None
2025-09-28,0.0357312901226184,0.0144853699480698,0,0.28874542430383515,0,0.05429864253393665,target_absret_next7d,0.95,None
2025-09-29,0.03564961526987211,0.0131705755571487,0,0.051881010394830694,0,0.05405405405405406,target_absret_next7d,0.95,None
2025-09-30,0.035567940417125826,0.0166953022395066,0,0.041094703667703826,0,0.053811659192825115,target_absret_next7d,0.95,None
2025-10-01,0.03548626556437958,0.0134160331323967,0,0.04523822153918098,0,0.05357142857142857,target_absret_next7d,0.95,None
2025-10-02,0.035404590711633294,0.0129568932575869,0,0.015552575858358415,0,0.05333333333333334,target_absret_next7d,0.95,None
2025-10-03,0.03532291585888705,0.0217154980302578,0,0.06515471566648313,0,0.05309734513274336,target_absret_next7d,0.95,None
2025-10-04,0.03524124100614076,0.0243461611292696,0,0.14753423496123763,0,0.05286343612334802,target_absret_next7d,0.95,None
2025-10-05,0.035159566153394474,0.0285447674684925,0,0.034073442544976046,0,0.05263157894736842,target_absret_next7d,0.95,None
2025-10-06,0.03507789130064823,0.0273406578715006,0,0.009570243301921945,0,0.05240174672489083,target_absret_next7d,0.95,None
2025-10-07,0.03499621644790194,0.026113776400705,0,0.00339361717820376,0,0.05217391304347826,target_absret_next7d,0.95,None
2025-10-08,0.034914541595155696,0.0267210234190315,0,0.0011341021681341077,0,0.05194805194805195,target_absret_next7d,0.95,None
