Último,Apertura,Máximo,Mínimo,Vol.,% var.,date,close,open,high,low,volume,source,n_rows,n_scored,sentiment_mean,sentiment_median,log_return,abs_log_return,parkinson_var,parkinson_vol,target_absret_next1d,target_parkvol_next1d,target_absret_next3d,target_parkvol_next3d,target_absret_next7d,target_parkvol_next7d,sent_delta,sent_lag1,sent_roll7,sent_roll14,sent_z30,log_n_rows,log_n_rows_roll7,log_n_rows_roll14,parkvol_lag1,parkvol_roll7,parkvol_roll14,absret_lag1,absret_roll7,absret_roll14,dow_sin,dow_cos
"94.265,1","86.065,7","94.986,5","85.069,3","126,76K","9,52%",2025-03-02,94265.1,86065.7,94986.5,85069.3,126760.0,ALL,24,24.0,0.016618124907836318,0.04923965781927109,0.09093151768834942,0.09093151768834942,0.004385488097268486,0.06622301788100936,0.08932832535605317,0.06114630560685819,0.04637632293301597,0.04764461523234915,0.036439690277740466,0.0394347883468389,0.02854412849257259,-0.011926003584736273,-0.15447340919457192,-0.03086236991549204,0.19424079787895637,3.2188758248682006,3.454611313426473,3.133991105178108,0.019098756148217592,0.04146081709452291,0.027931164550692188,0.019834880034214696,0.036335229231613635,0.022604256199380134,-0.7818314824680299,0.6234898018587334
"86.209,7","94.266,1","94.266,1","85.140,8","143,15K","-8,55%",2025-03-03,86209.7,94266.1,94266.1,85140.8,143150.0,ALL,70,70.0,-0.047208404487797194,0.028958074748516083,-0.08932832535605317,0.08932832535605317,0.0037388706893672972,0.06114630560685819,0.012181662777136221,0.051250287673617,0.01911412985562179,0.03824115851612828,0.027474135797741748,0.03753164564982413,-0.06382652939563352,0.016618124907836318,-0.16792852370060496,-0.04761809204220646,-0.1793040178618643,4.2626798770413155,3.587536365835917,3.2210023508436723,0.06622301788100936,0.04551925974135261,0.031504143180661394,0.09093151768834942,0.041866628079874305,0.028723720891705846,0.0,1.0
"87.266,3","86.083,8","88.887,8","81.617,0","132,50K","1,23%",2025-03-04,87266.3,86083.8,88887.8,81617.0,132500.0,ALL,48,48.0,-0.14189549287160239,-0.006214670836925507,0.012181662777136221,0.012181662777136221,0.0026265919866284987,0.051250287673617,0.03761898066585852,0.030537252416572274,0.027899093968256378,0.03526349533201414,0.03342311492030763,0.037598161283724306,-0.09468708838380518,-0.047208404487797194,-0.1312554072472582,-0.06804888718099696,-0.7143530375299411,3.8918202981106265,3.606196391895498,3.2690698132181306,0.06114630560685819,0.04666541866759801,0.03370132070486561,0.08932832535605317,0.03913117666464149,0.029486894163342565,0.7818314824680297,0.6234898018587336
"90.611,7","87.269,5","90.937,8","86.429,4","95,54K","3,83%",2025-03-05,90611.7,87269.5,90937.8,86429.4,95540.0,ALL,36,36.0,0.02661435368160407,0.021667676977813244,0.03761898066585852,0.03761898066585852,0.0009325237851534492,0.030537252416572274,0.0075417461238706344,0.032935935458195564,0.016553046019144917,0.028857288721670548,0.029323661958478568,0.037002738216707146,0.16850984655320644,-0.14189549287160239,-0.09809201969254064,-0.07435311862374457,0.1346578959826595,3.6109179126442243,3.6361564677500797,3.316675451323687,0.051250287673617,0.04398642561740512,0.035086417666650965,0.012181662777136221,0.037111559584093366,0.03142595198175003,0.9749279121818236,-0.22252093395631434
"89.930,9","90.611,7","92.802,0","87.849,6","89,27K","-0,75%",2025-03-06,89930.9,90611.7,92802.0,87849.6,89270.0,ALL,44,44.0,-0.037384273230352184,0.03338660206645727,-0.0075417461238706344,0.0075417461238706344,0.001084775844506424,0.032935935458195564,0.03853655511503998,0.042317298121274556,0.03613570567375491,0.033391245757543105,0.032692974798130235,0.0368296312326537,-0.06399862691195625,0.02661435368160407,-0.09568842435401373,-0.08333518026352346,-0.19525715150395187,3.8066624897703196,3.639366875728945,3.3862075331604085,0.030537252416572274,0.04435343501655396,0.036436775969260995,0.03761898066585852,0.03734006350798275,0.03074419091070387,0.43388373911755823,-0.900968867902419
"86.531,2","89.879,5","91.059,8","84.864,3","138,11K","-3,78%",2025-03-07,86531.2,89879.5,91059.8,84864.3,138110.0,ALL,91,91.0,-0.08712662207883792,0.01724754273891449,-0.03853655511503998,0.03853655511503998,0.0017907537202848272,0.042317298121274556,0.003580836818524141,0.011318632585541527,0.03214666863409563,0.03522691529303649,0.03216756912723812,0.03538542343619674,-0.04974234884848574,-0.037384273230352184,-0.04032975966626939,-0.0865933206187317,-0.42181513881762056,4.5217885770490405,3.7583538932911025,3.476471250233805,0.032935935458195564,0.04335840761510636,0.03744204212217359,0.0075417461238706344,0.04228195253721752,0.03191386697054437,-0.433883739117558,-0.9009688679024191
"86.221,9","86.783,8","86.886,8","85.264,6","41,90K","-0,36%",2025-03-08,86221.9,86783.8,86886.8,85264.6,41900.0,ALL,12,12.0,0.05448449837664763,0.0367452148348093,-0.003580836818524141,0.003580836818524141,0.00012811144360648247,0.011318632585541527,0.06628972508770062,0.046537806565813224,0.04889456190628672,0.048692670134828746,0.03227423806352553,0.03483187331676666,0.14161112045548555,-0.08712662207883792,-0.0308425451003574,-0.08924063665769504,0.4177146356289379,2.5649493574615367,3.6968134767064664,3.502737305957043,0.042317298121274556,0.04224696139186692,0.03774762502856466,0.03853655511503998,0.03995994636354744,0.031872750035442925,-0.9749279121818236,-0.2225209339563146
"80.691,6","86.221,5","86.498,6","80.048,9","69,90K","-6,41%",2025-03-09,80691.6,86221.5,86498.6,80048.9,69900.0,ALL,13,13.0,-0.1056298498923962,0.015150465071201324,-0.06628972508770062,0.06628972508770062,0.002165767439957048,0.046537806565813224,0.026569443996062148,0.04782430672775472,0.029772256854738208,0.04196983159537506,0.025821922605572277,0.03119346961483996,-0.16011434826904383,0.05448449837664763,-0.04830654150039061,-0.10138997534748127,-0.476836822097948,2.6390573296152584,3.613982263098903,3.534296788262688,0.011318632585541527,0.0394347883468389,0.0404478027206809,0.003580836818524141,0.036439690277740466,0.036387459754677054,-0.7818314824680299,0.6234898018587334
"78.575,9","80.702,2","83.902,8","77.480,5","120,23K","-2,62%",2025-03-10,78575.9,80702.2,83902.8,77480.5,120230.0,ALL,40,40.0,-0.1967797577381134,-0.013700971379876137,-0.026569443996062148,0.026569443996062148,0.0022871643139903658,0.04782430672775472,0.0538245166350974,0.051715897110918285,0.03129142085652826,0.036603124876063965,0.02449714615323322,0.026622882824419953,-0.0911499078457172,-0.1056298498923962,-0.06967387767900722,-0.11880120068980607,-0.9462169636832248,3.713572066704308,3.5355382901936165,3.5615373280147673,0.046537806565813224,0.03753164564982413,0.04152545269558837,0.06628972508770062,0.027474135797741748,0.034670381938808024,0.0,1.0
"82.921,1","78.579,7","83.572,6","76.677,1","123,59K","5,53%",2025-03-11,82921.1,78579.7,83572.6,76677.1,123590.0,ALL,36,36.0,-0.014760787340088023,0.057439494878053665,0.0538245166350974,0.0538245166350974,0.0026745340139870863,0.051715897110918285,0.008922809933055078,0.026369290947452165,0.02496948711776086,0.0301004403544498,0.019035589966076842,0.02219329783783503,0.1820189703980254,-0.1967797577381134,-0.051511776888790876,-0.09138359206802453,0.06288876965801482,3.6109179126442243,3.49540937798413,3.5508028849398143,0.04782430672775472,0.037598161283724306,0.04213178997566116,0.026569443996062148,0.03342311492030763,0.03627714579247456,0.7818314824680297,0.6234898018587336
"83.664,3","82.921,1","84.266,5","80.646,6","88,61K","0,90%",2025-03-12,83664.3,82921.1,84266.5,80646.6,88610.0,ALL,29,29.0,-0.08574701685073047,0.03775052726268768,0.008922809933055078,0.008922809933055078,0.0006953395050713827,0.026369290947452165,0.031126936001432307,0.031724186569821435,0.023437723597587824,0.02379193728847608,0.024707807082912543,0.02291373938331656,-0.07098622951064244,-0.014760787340088023,-0.06756340125055296,-0.08282771047154679,-0.36042970029930865,3.4011973816621555,3.4654493021295494,3.550802884939814,0.051715897110918285,0.037002738216707146,0.04049458191705614,0.0538245166350974,0.029323661958478568,0.03321761077128597,0.9749279121818236,-0.22252093395631434
"81.100,2","83.664,7","84.292,0","79.954,9","79,25K","-3,06%",2025-03-13,81100.2,83664.7,84292.0,79954.9,79250.0,ALL,31,31.0,0.007983102793655088,0.03778354823589325,-0.031126936001432307,0.031126936001432307,0.0010064240135168386,0.031724186569821435,0.034858715418795184,0.032207843546075796,0.020103250557786334,0.02024020198264437,0.024659351115296775,0.02215652325110789,0.09373011964438556,-0.08574701685073047,-0.06108234753283763,-0.07838538594342569,0.22539257659394432,3.4657359027997265,3.4167455039908927,3.5280561898599188,0.026369290947452165,0.0368296312326537,0.040591533124603826,0.008922809933055078,0.032692974798130235,0.035016519153056494,0.43388373911755823,-0.900968867902419
"83.977,1","81.103,5","85.286,6","80.833,2","81,23K","3,55%",2025-03-14,83977.1,81103.5,85286.6,80833.2,81230.0,ALL,21,21.0,0.08655424611199469,0.01776130683720112,0.034858715418795184,0.034858715418795184,0.001037345185888496,0.032207843546075796,0.0043275193725359805,0.007443781749531005,0.014249015028084186,0.014780987198890663,0.01990840302205005,0.019204595862823422,0.0785711433183396,0.007983102793655088,-0.036270794934147255,-0.0383002773002083,0.7381136424145265,3.091042453358316,3.2123532006065036,3.4853535469488035,0.031724186569821435,0.03538542343619674,0.03937191552565155,0.031126936001432307,0.03216756912723812,0.03722476083222782,-0.433883739117558,-0.9009688679024191
"84.341,3","83.978,7","84.679,5","83.636,4","38,40K","0,43%",2025-03-15,84341.3,83978.7,84679.5,83636.4,38400.0,ALL,5,5.0,0.07793826013803482,0.033729586750268936,0.0043275193725359805,0.0043275193725359805,5.540988673465087e-05,0.007443781749531005,0.021123516882027838,0.02106898065232632,0.018004383012239784,0.01920266068398828,0.019686307838097623,0.01899611799291845,-0.008615985973959878,0.08655424611199469,-0.03292025753966337,-0.03188140132001037,0.6467775711490442,1.791759469228055,3.101897502287435,3.399355489496951,0.032207843546075796,0.03483187331676666,0.0385394173543168,0.034858715418795184,0.03227423806352553,0.03611709221353649,-0.9749279121818236,-0.2225209339563146
